,time,text,deaths,death_score,injuries,injury_score,city,city_score,country,country_score,earthquake,earthquake_score
10,2022-07-27T06:32:21Z,"Powerful earthquake hits northern PhilippinesA 7.0-MAGNITUDE earthquake has hit the northern Philippines, authorities said, killing one person, shattering windows at the epicentre and shaking high-rise towers more than 300 kilometres away in th… [+3785 chars]",1,"{'1': {'1': 0.6142423152923584, 'one': 0.1002722978591919, 'none': 0.07809213548898697, 'yes': 0.04179971292614937, 'no': 0.011975818313658237}}",-1,"{'none': {'none': 0.1464315801858902, '300': 0.03644970431923866, '400': 0.03560534119606018, '3': 0.03267330303788185, '1': 0.03142160922288895}}",,"{'none': {'none': 0.21252195537090302, 'Philipp': 0.16551226377487183, 'Man': 0.08859232813119888, 'B': 0.06899577379226685, 'P': 0.025781838223338127}}",Philippines,-1,yes,-1
11,2022-07-27T06:41:36Z,"Powerful quake strikes northern Philippines, killing at least 2 people and injuring dozensA powerful earthquake that struck the northern Philippines on Wednesday morning killed at least four people and wounded dozens of others as it triggered small landslides and destroyed homes, per Al J… [+385 chars]",2,"{'2': {'2': 0.3749677240848541, '4': 0.3691544234752655, 'none': 0.06026279926300049, 'four': 0.018523266538977623, 'yes': 0.018523266538977623}}",40,"{'40': {'40': 0.12319131195545197, 'none': 0.11393333971500397, '50': 0.09898700565099716, '30': 0.033416539430618286, '42': 0.01964457333087921}}",,"{'none': {'none': 0.2924736738204956, 'Man': 0.13390420377254486, 'B': 0.07871822267770767, 'Philipp': 0.04020533338189125, 'C': 0.03603982552886009}}",Philippines,-1,yes,-1
12,2022-07-27T06:44:00Z,"7.1-magnitude earthquake hits northern Philippines, 4 killedMANILA: A 7.1-magnitude earthquake hit the northern Philippines Wednesday, the US Geological Survey said, shattering windows of buildings at the epicentre and shaking high-rise towers more than 300 k… [+2823 chars]",4,"{'4': {'4': 0.6651007533073425, 'none': 0.12303127348423004, 'yes': 0.024226294830441475, '0': 0.014466180466115475, '1': 0.013803726062178612}}",-1,"{'none': {'none': 0.21242982149124146, '4': 0.06328663229942322, '300': 0.04452770948410034, '3': 0.03182251751422882, '30': 0.022389937192201614}}",Manila,"{'Man': {'Man': 0.39682701230049133, 'Philipp': 0.184541717171669, 'none': 0.12486715614795685, 'B': 0.03308650478720665, 'M': 0.017435362562537193}, 'ila': {'ila': 0.9575528502464294, 'illa': 0.03487886115908623, 'il': 0.0028630311135202646, 'ilan': 0.00044250363134779036, 'ag': 0.00034732508356682956}}",Philippines,-1,yes,-1
13,2022-07-27T06:52:06Z,"Death toll in Philippines quake rises to 4, with 60 injuredMANILA (Reuters) A strong earthquake in northern Philippines has killed four people and injured 60, the interior minister said on Wednesday.
Two people died in Benguet province, one in Abra province… [+103 chars]",4,"{'4': {'4': 0.8456607460975647, 'four': 0.03228146582841873, 'none': 0.020359665155410767, '1': 0.011600588448345661, '60': 0.00903454702347517}}",60,"{'60': {'60': 0.8717591762542725, '6000': 0.022693434730172157, 'none': 0.018961073830723763, '600': 0.013031743466854095, '6': 0.00790415145456791}}",Manila,"{'Man': {'Man': 0.3868572413921356, 'Philipp': 0.1663852334022522, 'none': 0.14011041820049286, 'B': 0.08631952106952667, 'Ab': 0.01523630041629076}, 'ila': {'ila': 0.9797250628471375, 'illa': 0.015835780650377274, 'il': 0.0014055054634809494, 'ilan': 0.0003390939673408866, 'ag': 0.00024615583242848516}}",Philippines,-1,yes,-1
14,2022-07-27T07:26:39Z,News24.com | Powerful earthquake hits northern Philippines<ul><li>The Philippines was struck by a 7.1-magnitude earthquake on Wednesday. </li><li>Four people were killed and 60 injured.</li><li>The earthquake was the strongest recorded in the Philippines in… [+3748 chars],4,"{'4': {'4': 0.45974522829055786, '60': 0.1772475689649582, 'none': 0.11443964391946793, 'four': 0.030801009386777878, '0': 0.020678820088505745}}",60,"{'60': {'60': 0.7846513390541077, 'none': 0.03968068212270737, '6000': 0.019490497186779976, '600': 0.01874382793903351, '6': 0.0085147675126791}}",,"{'none': {'none': 0.3327246904373169, 'Philipp': 0.10634519904851913, 'Man': 0.10307329893112183, 'B': 0.05182851105928421, 'C': 0.035068921744823456}}",Philippines,-1,yes,-1
15,2022-07-27T07:42:07Z,"Philippines earthquake strikes north island, killing at least 2, injuring dozensA strong earthquake left at least two people dead and injured dozens in the northern Philippines on Wednesday, where the temblor set off small landslides and damaged buildings and churches and prompt… [+2612 chars]",2,"{'2': {'2': 0.7432470917701721, 'none': 0.08082437515258789, 'two': 0.018899843096733093, 'at': 0.015186449512839317, '1': 0.012298362329602242}}",-1,"{'none': {'none': 0.1376904398202896, '40': 0.09917470812797546, '50': 0.07845364511013031, '30': 0.039448972791433334, '60': 0.022653639316558838}}",Philippines,"{'Philipp': {'Philipp': 0.28190934658050537, 'none': 0.18488065898418427, 'B': 0.050543561577796936, 'Man': 0.037560783326625824, 'C': 0.03473804518580437}, 'ines': {'ines': 0.9837287068367004, 'ine': 0.01517235767096281, 'i': 0.0001712039374979213, 'in': 0.00013229614705778658, 'p': 7.838287274353206e-05}}",Philippines,-1,yes,-1
16,2022-07-27T08:26:47Z,"At Least Two People Dead After Strong Earthquake Strikes Northern PhilippinesA strong earthquake struck the northern Philippines Wednesday, shaking buildings and sending frightened residents fleeing into the streets.
The U.S. Geological Survey says the province of Abra on th… [+1247 chars]",2,"{'2': {'2': 0.55062335729599, 'none': 0.17057515680789948, 'two': 0.06679819524288177, '1': 0.013050982728600502, 'yes': 0.0127486577257514}}",-1,"{'none': {'none': 0.3844352662563324, 'Philipp': 0.06474946439266205, '2': 0.021021073684096336, 'Northern': 0.019747471436858177, '1': 0.018121298402547836}}",,"{'none': {'none': 0.2955341637134552, 'Ab': 0.12513703107833862, 'Philipp': 0.1157328337430954, 'Northern': 0.07472273707389832, 'B': 0.06098691374063492}}",Philippines,-1,yes,-1
17,2022-07-27T08:38:10Z,"Graphics: Philippines earthquakeA powerful 7.1 magnitude earthquake struck the Philippine island of Luzon on Wednesday killing at least four people and injuring 60, damaging buildings in the northern Abra province and sending stron… [+2122 chars]",4,"{'4': {'4': 0.7326262593269348, 'four': 0.05064095929265022, 'none': 0.03244181349873543, 'yes': 0.02566358633339405, '0': 0.013005673885345459}}",60,"{'60': {'60': 0.880659282207489, 'none': 0.02239406295120716, '600': 0.0061702122911810875, '6': 0.005933835636824369, '6000': 0.005574322305619717}}",,"{'none': {'none': 0.2609907388687134, 'Philipp': 0.2609907388687134, 'Ab': 0.04981095343828201, 'Man': 0.04129473492503166, 'B': 0.035321254283189774}}",Philippines,-1,yes,-1
18,2022-07-27T08:39:58Z,"4 killed, 60 injured in 7-magnitude earthquake in northern PhilippinesMANILA, July 27 (Xinhua) -- A 7-magnitude earthquake that rattled the main Luzon island in the Philippines on Wednesday morning killed at least four people and injured some 60 others, Interior and Lo… [+3850 chars]",4,"{'4': {'4': 0.8277586698532104, 'four': 0.04743434861302376, 'none': 0.019928663969039917, '1': 0.010835026390850544, '0': 0.008706189692020416}}",60,"{'60': {'60': 0.8449686765670776, '6000': 0.03225504606962204, 'none': 0.01971711590886116, '600': 0.018093440681695938, '6': 0.011682004667818546}}",Manila,"{'Man': {'Man': 0.4468041658401489, 'none': 0.18336805701255798, 'Philipp': 0.13626757264137268, 'B': 0.023312633857131004, 'C': 0.01370478980243206}, 'ila': {'ila': 0.979125440120697, 'illa': 0.01711208187043667, 'il': 0.001566995051689446, 'ilan': 0.0003442231100052595, 'ille': 0.000165160046890378}}",Philippines,-1,yes,-1
19,2022-07-27T08:46:00Z,"Powerful earthquake strikes Philippines, kills at least 1Manila, July 27 (BNA): A powerful 7.1 magnitude earthquake struck the Philippine island of Luzon, the Us Geological Survey said, badly damaging a hospital and buildings in a northern province and sen… [+1835 chars]",1,"{'1': {'1': 0.7646249532699585, 'none': 0.07453437894582748, 'yes': 0.027206283062696457, 'at': 0.011519866064190865, 'one': 0.00810523796826601}}",-1,"{'none': {'none': 0.15173311531543732, '5000': 0.05042870715260506, '1': 0.04663893207907677, '4000': 0.04415685310959816, '4': 0.04279829189181328}}",Manila,"{'Man': {'Man': 0.7526655197143555, 'Philipp': 0.09130869060754776, 'none': 0.04964367672801018, 'M': 0.012551886029541492, 'Ph': 0.0076728141866624355}, 'ila': {'ila': 0.9808875322341919, 'illa': 0.015128537081182003, 'il': 0.0016451521078124642, 'ille': 0.00022439335589297116, '…': 0.00011732678103726357}}",Philippines,-1,yes,-1
20,2022-07-27T06:49:01Z,"Strong earthquake kills at least 2 and injures dozens in the northern PhilippinesA damaged car is seen along a road after a strong quake hit Bangued, Abra province, in the northern Philippines on Wednesday.
Raphiel Alzate/AP
MANILA, Philippines A strong earthquake left at least… [+2759 chars]",2,"{'2': {'2': 0.6433461308479309, 'none': 0.10502336919307709, 'at': 0.025938943028450012, 'yes': 0.015732763335108757, '1': 0.011331885121762753}}",-1,"{'none': {'none': 0.1523922085762024, '50': 0.11868317425251007, '40': 0.09994125366210938, '30': 0.05391426384449005, '20': 0.03244617208838463}}",Philippines,"{'Philipp': {'Philipp': 0.2620193064212799, 'Bang': 0.16917237639427185, 'none': 0.15164513885974884, 'Man': 0.12376915663480759, 'B': 0.03894568979740143}, 'ines': {'ines': 0.992997407913208, 'ine': 0.006092009600251913, 'i': 0.0002805097319651395, 'in': 8.826630073599517e-05, 'inas': 6.066447895136662e-05}}",Philippines,-1,yes,-1
21,2022-06-27T02:18:59Z,"After earthquake that killed 1,000, Afghanistan braces for cholera, disease outbreaksKabul/Wor Kali, AfghanistanThousands affected by a deadly earthquake in eastern Afghanistan are in need of clean water and food and are at risk of disease, an Afghan health ministry official said on … [+2028 chars]",1000,"{'1000': {'1000': 0.39734381437301636, '1': 0.3243025839328766, 'none': 0.10862775146961212, '100': 0.013281397521495819, '10': 0.01075560413300991}}",4000,"{'4000': {'4000': 0.19114302098751068, 'none': 0.14094002544879913, '5000': 0.07603143900632858, '4': 0.06605726480484009, '6000': 0.03194320574402809}}",Kabul,"{'K': {'K': 0.5081765651702881, 'none': 0.2677902281284332, 'Af': 0.15742574632167816, 'W': 0.0071923392824828625, 'B': 0.0027946417685598135}, 'abul': {'abul': 0.9957644939422607, 'and': 0.0015936242416501045, 'AB': 0.00031874491833150387, 'und': 0.0002482387935742736, 'ab': 0.00016796676209196448}}",Afghanistan,-1,yes,-1
22,2022-07-27T09:47:02Z,"Photos: Powerful earthquake strikes PhilippinesA powerful magnitude 7 earthquake has struck the northern Philippine island of Luzon, killing four people, damaging buildings and sending strong tremors through the capital, Manila.
Two people were … [+1062 chars]",4,"{'4': {'4': 0.6842219233512878, 'four': 0.08835893124341965, 'none': 0.05443636327981949, 'yes': 0.0327603779733181, '400': 0.011865022592246532}}",-1,"{'none': {'none': 0.13469241559505463, '4': 0.08764602243900299, '4000': 0.05033088102936745, '2': 0.04012727364897728, '400': 0.034322675317525864}}",Manila,"{'Man': {'Man': 0.5383961796760559, 'Philipp': 0.2175317257642746, 'none': 0.0775633305311203, 'Ph': 0.01757925935089588, 'Fil': 0.011350022628903389}, 'ila': {'ila': 0.9754822850227356, 'illa': 0.02189059369266033, 'il': 0.0007147531723603606, 'ag': 0.00030264552333392203, 'ille': 0.0002394123439444229}}",Philippines,-1,yes,-1
23,2022-07-27T15:08:55Z,"At least 4 dead, dozens injured after 7.0 magnitude earthquake rips through PhilippinesWith the Federal Reserve expected to hike its key interest rate by three-quarters of a percentage point on Wednesday to battle high inflation, focus will shift to how deeply signs of a possible econo… [+563 chars]",4,"{'4': {'4': 0.5128797292709351, 'none': 0.180037721991539, 'four': 0.013667781837284565, '5': 0.011690673418343067, '0': 0.01106850802898407}}",-1,"{'none': {'none': 0.1245233342051506, '50': 0.08693129569292068, '40': 0.07611959427595139, '30': 0.04509936273097992, '20': 0.03918300196528435}}",Philippines,"{'Philipp': {'Philipp': 0.5968270897865295, 'none': 0.14399124681949615, 'Man': 0.03473949804902077, 'Fil': 0.0214023869484663, 'C': 0.013710884377360344}, 'ines': {'ines': 0.9926988482475281, 'ine': 0.006186084356158972, 'i': 0.0003544908540789038, 'in': 0.00012060944573022425, 'ins': 7.372707477770746e-05}}",Philippines,-1,yes,-1
24,2022-07-02T03:23:11Z,"Iran earthquakes: at last five killed and village flattened, state media saysAt least five people were killed by a magnitude-6.1 earthquake in southern Iran early on Saturday, state media reported, with the area also hit by two later strong quakes of up to 6.3 magnitude.
Fiv… [+929 chars]",5,"{'5': {'5': 0.578045129776001, 'none': 0.10044917464256287, 'yes': 0.06796731799840927, 'five': 0.050905171781778336, '4': 0.017730334773659706}}",-1,"{'none': {'none': 0.17038139700889587, '2': 0.09483152627944946, '6': 0.09119859337806702, '6000': 0.05036464333534241, '5': 0.04410075768828392}}",Iran,"{'Iran': {'Iran': 0.5088603496551514, 'Te': 0.10177846997976303, 'none': 0.08570606261491776, 'K': 0.034628380089998245, 'S': 0.01356066856533289}}",Iran,-1,yes,-1
25,2022-07-27T08:51:42Z,"Earthquake hits Philippines: What happened, where, and what nextA strong earthquake has struck the northern Philippines, killing at least four people, toppling buildings and causing panic among residents.
Here is what we know.
What happened?
<ul><li>At 8:43am … [+2835 chars]",4,"{'4': {'4': 0.6680782437324524, 'four': 0.06719039380550385, 'none': 0.046906452625989914, 'yes': 0.046906452625989914, '0': 0.009236428886651993}}",-1,"{'none': {'none': 0.11304841935634613, '4': 0.08942867070436478, '4000': 0.06594056636095047, '5000': 0.05466664955019951, '400': 0.029954852536320686}}",Philippines,"{'Philipp': {'Philipp': 0.5133489370346069, 'none': 0.08512159436941147, 'Man': 0.07280836254358292, 'C': 0.020859943702816963, 'P': 0.01840883679687977}, 'ines': {'ines': 0.9907060265541077, 'ine': 0.00857128668576479, 'i': 0.0001658129767747596, 'p': 8.272717241197824e-05, 'in': 8.208338840631768e-05}}",Philippines,-1,yes,-1
26,2022-07-27T04:22:52Z,"Philippines earthquake: 7.0-magnitude quake strikes northern Philippines, damages buildings - KABC-TVMANILA, Philippines -- A strong earthquake shook the northern Philippines on Wednesday, injuring at least one person, damaging buildings and prompting many people in the capital to run outdoors.
The… [+1659 chars]",1,"{'1': {'1': 0.6018424034118652, 'none': 0.10296309739351273, 'one': 0.06100361794233322, 'yes': 0.035306185483932495, '0': 0.018460266292095184}}",-1,"{'none': {'none': 0.18712344765663147, '1': 0.06466813385486603, 'Philipp': 0.04307826608419418, 'yes': 0.02869631163775921, '100': 0.025723205879330635}}",Manila,"{'Man': {'Man': 0.5212005972862244, 'Philipp': 0.14027924835681915, 'none': 0.0750860720872879, 'Metro': 0.03895413875579834, 'MAN': 0.028499457985162735}, 'ila': {'ila': 0.9785975813865662, 'illa': 0.01999526470899582, 'il': 0.0005672220140695572, 'ille': 0.00017299293540418148, 'ilan': 9.856840188149363e-05}}",Philippines,-1,yes,-1
27,2022-07-27T07:49:45Z,"Strong quake kills 2, injures dozens in northern PhilippinesA strong earthquake left at least two people dead and injured dozens in the northern Philippines on Wednesday, where the temblor set off small landslides and damaged buildings and churches and prompt… [+5124 chars]",2,"{'2': {'2': 0.7109487652778625, 'none': 0.07493344694375992, 'two': 0.03948715329170227, '1': 0.01407957635819912, 'yes': 0.012042900547385216}}",40,"{'40': {'40': 0.13219138979911804, 'none': 0.1301419585943222, '50': 0.09671328961849213, '30': 0.05425123870372772, '60': 0.031644467264413834}}",,"{'none': {'none': 0.2770575284957886, 'Man': 0.13715343177318573, 'B': 0.08449777215719223, 'C': 0.039913926273584366, 'L': 0.03691434487700462}}",Philippines,-1,yes,-1
28,2022-07-27T15:11:46Z,"Powerful 7.1 earthquake strikes Philippines; at least 5 dead - KSL.comEstimated read time: 2-3 minutes
VIGAN, Philippines A powerful 7.1 magnitude earthquake struck the northern Philippine island of Luzon on Wednesday killing at least five people, damaging buildings a… [+3125 chars]",5,"{'5': {'5': 0.7989924550056458, 'five': 0.03977948799729347, 'none': 0.0391627661883831, 'yes': 0.024127481505274773, '4': 0.009672521613538265}}",-1,"{'none': {'none': 0.20492671430110931, '5': 0.12236732989549637, '5000': 0.08813788741827011, '500': 0.031426530331373215, '3': 0.028614182025194168}}",Philippines,"{'Philipp': {'Philipp': 0.40744510293006897, 'V': 0.23581114411354065, 'none': 0.1079622134566307, 'Lu': 0.019661378115415573, 'Fil': 0.014957587234675884}, 'ines': {'ines': 0.9865080118179321, 'ine': 0.01241830363869667, 'i': 0.000270102551439777, 'in': 0.00012560935283545405, '…': 9.706338460091501e-05}}",Philippines,-1,yes,-1
29,2022-07-27T05:45:57Z,"Philippines struck by powerful 7 magnitude earthquake, killing at least twoA strong earthquake left at least two people dead and injured dozens in the northern Philippines, where the temblor set off small landslides and damaged buildings and churches and prompted terrified … [+2875 chars]",2,"{'2': {'2': 0.6152545809745789, 'two': 0.1372818499803543, 'none': 0.07945264130830765, 'yes': 0.017867324873805046, 'at': 0.014024225063621998}}",-1,"{'none': {'none': 0.1319170892238617, '40': 0.07694656401872635, '50': 0.06581588089466095, '30': 0.03779488056898117, '100': 0.01976151205599308}}",Philippines,"{'Philipp': {'Philipp': 0.6354522705078125, 'none': 0.10054315626621246, 'Man': 0.026228249073028564, 'B': 0.019491178914904594, 'C': 0.015784436836838722}, 'ines': {'ines': 0.9878827333450317, 'ine': 0.011147206649184227, 'i': 0.00015411425556521863, 'in': 9.059910371433944e-05, 'p': 8.850037556840107e-05}}",Philippines,-1,yes,-1
30,2022-07-27T06:49:01Z,"Strong earthquake kills at least 2 and injures dozens in the northern PhilippinesA damaged car is seen along a road after a strong quake hit Bangued, Abra province, in the northern Philippines on Wednesday.
Raphiel Alzate/AP
MANILA, Philippines A strong earthquake left at least… [+2759 chars]",2,"{'2': {'2': 0.6433461308479309, 'none': 0.10502336919307709, 'at': 0.025938943028450012, 'yes': 0.015732763335108757, '1': 0.011331885121762753}}",-1,"{'none': {'none': 0.1523922085762024, '50': 0.11868317425251007, '40': 0.09994125366210938, '30': 0.05391426384449005, '20': 0.03244617208838463}}",Philippines,"{'Philipp': {'Philipp': 0.2620193064212799, 'Bang': 0.16917237639427185, 'none': 0.15164513885974884, 'Man': 0.12376915663480759, 'B': 0.03894568979740143}, 'ines': {'ines': 0.992997407913208, 'ine': 0.006092009600251913, 'i': 0.0002805097319651395, 'in': 8.826630073599517e-05, 'inas': 6.066447895136662e-05}}",Philippines,-1,yes,-1
31,2022-06-27T02:18:59Z,"After earthquake that killed 1,000, Afghanistan braces for cholera, disease outbreaksKabul/Wor Kali, AfghanistanThousands affected by a deadly earthquake in eastern Afghanistan are in need of clean water and food and are at risk of disease, an Afghan health ministry official said on … [+2028 chars]",1000,"{'1000': {'1000': 0.39734381437301636, '1': 0.3243025839328766, 'none': 0.10862775146961212, '100': 0.013281397521495819, '10': 0.01075560413300991}}",4000,"{'4000': {'4000': 0.19114302098751068, 'none': 0.14094002544879913, '5000': 0.07603143900632858, '4': 0.06605726480484009, '6000': 0.03194320574402809}}",Kabul,"{'K': {'K': 0.5081765651702881, 'none': 0.2677902281284332, 'Af': 0.15742574632167816, 'W': 0.0071923392824828625, 'B': 0.0027946417685598135}, 'abul': {'abul': 0.9957644939422607, 'and': 0.0015936242416501045, 'AB': 0.00031874491833150387, 'und': 0.0002482387935742736, 'ab': 0.00016796676209196448}}",Afghanistan,-1,yes,-1
