,time,text,deaths,death_score,injuries,injury_score,city,city_score,country,country_score,earthquake,earthquake_score
10,2022-07-27T07:49:45Z,"Strong quake kills 2, injures dozens in northern PhilippinesA strong earthquake left at least two people dead and injured dozens in the northern Philippines on Wednesday, where the temblor set off small landslides and damaged buildings and churches and prompt… [+5124 chars]",2,"{'2': {'2': 0.7109487652778625, 'none': 0.07493344694375992, 'two': 0.03948715329170227, '1': 0.01407957635819912, 'yes': 0.012042900547385216}}",40,"{'40': {'40': 0.13219138979911804, 'none': 0.1301419585943222, '50': 0.09671328961849213, '30': 0.05425123870372772, '60': 0.031644467264413834}}",,"{'none': {'none': 0.2770575284957886, 'Man': 0.13715343177318573, 'B': 0.08449777215719223, 'C': 0.039913926273584366, 'L': 0.03691434487700462}}",Philippines,-1,yes,-1
11,2022-06-27T02:18:59Z,"After earthquake that killed 1,000, Afghanistan braces for cholera, disease outbreaksKabul/Wor Kali, AfghanistanThousands affected by a deadly earthquake in eastern Afghanistan are in need of clean water and food and are at risk of disease, an Afghan health ministry official said on … [+2028 chars]",1000,"{'1000': {'1000': 0.39734381437301636, '1': 0.3243025839328766, 'none': 0.10862775146961212, '100': 0.013281397521495819, '10': 0.01075560413300991}}",4000,"{'4000': {'4000': 0.19114302098751068, 'none': 0.14094002544879913, '5000': 0.07603143900632858, '4': 0.06605726480484009, '6000': 0.03194320574402809}}",Kabul,"{'K': {'K': 0.5081765651702881, 'none': 0.2677902281284332, 'Af': 0.15742574632167816, 'W': 0.0071923392824828625, 'B': 0.0027946417685598135}, 'abul': {'abul': 0.9957644939422607, 'and': 0.0015936242416501045, 'AB': 0.00031874491833150387, 'und': 0.0002482387935742736, 'ab': 0.00016796676209196448}}",Afghanistan,-1,yes,-1
12,2022-07-27T07:49:45Z,"Strong quake kills 2, injures dozens in northern PhilippinesA strong earthquake left at least two people dead and injured dozens in the northern Philippines on Wednesday, where the temblor set off small landslides and damaged buildings and churches and prompt… [+5124 chars]",2,"{'2': {'2': 0.7109487652778625, 'none': 0.07493344694375992, 'two': 0.03948715329170227, '1': 0.01407957635819912, 'yes': 0.012042900547385216}}",40,"{'40': {'40': 0.13219138979911804, 'none': 0.1301419585943222, '50': 0.09671328961849213, '30': 0.05425123870372772, '60': 0.031644467264413834}}",,"{'none': {'none': 0.2770575284957886, 'Man': 0.13715343177318573, 'B': 0.08449777215719223, 'C': 0.039913926273584366, 'L': 0.03691434487700462}}",Philippines,-1,yes,-1
13,2022-06-27T02:18:59Z,"After earthquake that killed 1,000, Afghanistan braces for cholera, disease outbreaksKabul/Wor Kali, AfghanistanThousands affected by a deadly earthquake in eastern Afghanistan are in need of clean water and food and are at risk of disease, an Afghan health ministry official said on … [+2028 chars]",1000,"{'1000': {'1000': 0.39734381437301636, '1': 0.3243025839328766, 'none': 0.10862775146961212, '100': 0.013281397521495819, '10': 0.01075560413300991}}",4000,"{'4000': {'4000': 0.19114302098751068, 'none': 0.14094002544879913, '5000': 0.07603143900632858, '4': 0.06605726480484009, '6000': 0.03194320574402809}}",Kabul,"{'K': {'K': 0.5081765651702881, 'none': 0.2677902281284332, 'Af': 0.15742574632167816, 'W': 0.0071923392824828625, 'B': 0.0027946417685598135}, 'abul': {'abul': 0.9957644939422607, 'and': 0.0015936242416501045, 'AB': 0.00031874491833150387, 'und': 0.0002482387935742736, 'ab': 0.00016796676209196448}}",Afghanistan,-1,yes,-1
14,2022-07-27T07:49:45Z,"Strong quake kills 2, injures dozens in northern PhilippinesA strong earthquake left at least two people dead and injured dozens in the northern Philippines on Wednesday, where the temblor set off small landslides and damaged buildings and churches and prompt… [+5124 chars]",2,"{'2': {'2': 0.7109487652778625, 'none': 0.07493344694375992, 'two': 0.03948715329170227, '1': 0.01407957635819912, 'yes': 0.012042900547385216}}",40,"{'40': {'40': 0.13219138979911804, 'none': 0.1301419585943222, '50': 0.09671328961849213, '30': 0.05425123870372772, '60': 0.031644467264413834}}",,"{'none': {'none': 0.2770575284957886, 'Man': 0.13715343177318573, 'B': 0.08449777215719223, 'C': 0.039913926273584366, 'L': 0.03691434487700462}}",Philippines,-1,yes,-1
15,2022-07-27T10:21:52Z,"Filippine, terremoto di magnitudo 7 nel nord del Paese: almeno 4 morti e 60 feritiUn forte terremoto ha colpito il nord delle Filippine, provocando almeno quattro morti, 40 feriti e danni a diversi edifici. Decine le persone che si sono riversate in strada anche nella capitale Man… [+546 chars]",4,"{'4': {'4': 0.7288908958435059, 'none': 0.03409068286418915, '60': 0.026549849659204483, '5': 0.016103297472000122, '40': 0.013560336083173752}}",60,"{'60': {'60': 0.455843061208725, '40': 0.3036569654941559, 'none': 0.04374593123793602, '50': 0.01609322801232338, '20': 0.013341754674911499}}",Manila,"{'Man': {'Man': 0.6063876748085022, 'none': 0.08600405603647232, 'C': 0.06594160199165344, 'Philipp': 0.03641640767455101, 'F': 0.030665690079331398}, 'ila': {'ila': 0.5754555463790894, 'illa': 0.4144850969314575, 'ille': 0.0033165065106004477, 'ag': 0.0018031533109024167, 'il': 0.0015912771923467517}}",Philippines,-1,yes,-1
16,2022-07-27T11:36:11Z,"nanPelo menos quatro pessoas morreram e outras 60 ficaram feridas após um terremoto de magnitude 7,1 atingir o norte das Filipinas às 8h43 de hoje, no horário local (21h43 de ontem, no horário de Brasíl… [+1816 chars]",4,"{'4': {'4': 0.5113427639007568, 'none': 0.08816654980182648, '60': 0.05264664813876152, '5': 0.02688927762210369, '1': 0.01682688109576702}}",60,"{'60': {'60': 0.6538565754890442, 'none': 0.07393605262041092, '6': 0.01586535945534706, '40': 0.014904125593602657, '20': 0.01216439250856638}}",,"{'none': {'none': 0.1905687153339386, 'Fil': 0.11925486475229263, 'Man': 0.11925486475229263, 'Philipp': 0.08456435799598694, 'B': 0.06186860427260399}}",Filipinas,-1,yes,-1
17,2022-07-27T11:23:40Z,"Magnitude-7.3 earthquake hits Philippines, killing four and injuring 60Comment on this story
MANILA A major earthquake struck the northern Philippines on Wednesday morning, killing at least four, injuring dozens, and damaging over a hundred buildings across the region.… [+2209 chars]",4,"{'4': {'4': 0.7583217024803162, 'four': 0.09792802482843399, 'none': 0.0195868369191885, 'yes': 0.016884909942746162, '0': 0.007205594331026077}}",60,"{'60': {'60': 0.573948860168457, 'none': 0.053804267197847366, '40': 0.026843946427106857, '30': 0.019184501841664314, '50': 0.016029251739382744}}",Manila,"{'Man': {'Man': 0.34357550740242004, 'Philipp': 0.19272840023040771, 'none': 0.15730033814907074, 'B': 0.03097427263855934, 'C': 0.02374880015850067}, 'ila': {'ila': 0.9610310196876526, 'illa': 0.03288467228412628, 'il': 0.0018264636164531112, 'ille': 0.0004993273760192096, 'ilan': 0.0003681809175759554}}",Philippines,-1,yes,-1
18,2022-07-27T11:40:31Z,"Terremoto de magnitude 7,0 atinge norte das Filipinas e deixa mortosUm terremoto de magnitude 7,0 atingiu as Filipinas na terça-feira (26), de acordo com o Serviço Geológico dos EUA (USGS). Segundo o secretário de Interior do país, Benjamin Abalos, pelo menos quatro … [+1657 chars]",-1,"{'none': {'none': 0.15299829840660095, '4': 0.05412868782877922, '7': 0.03929321467876434, '400': 0.03634028509259224, 'yes': 0.03036344237625599}}",40000,"{'4': {'4': 0.11213306337594986, 'none': 0.059553418308496475, '400': 0.04190106689929962, '6': 0.033406440168619156, '4000': 0.032632581889629364}, '0000': {'0000': 0.7469447255134583, '|': 0.10429684817790985, ',': 0.07512220740318298, '000000': 0.016502156853675842, '100': 0.008696027100086212}}",Filipinas,"{'Fil': {'Fil': 0.2993321418762207, 'Philipp': 0.18731728196144104, 'Man': 0.08183285593986511, 'none': 0.07627660781145096, 'C': 0.018546920269727707}, 'ip': {'ip': 0.9903008937835693, 'ad': 0.001795904478058219, 'pp': 0.0006255158223211765, '-': 0.0005876176874153316, 'il': 0.000332208932377398}, 'inas': {'inas': 0.9622310400009155, 'ina': 0.018469665199518204, 'inos': 0.008456028066575527, 'ino': 0.006382944993674755, 'ines': 0.0012373903300613165}}",Philippines,-1,yes,-1
19,2022-07-27T12:51:41Z,"Deadly earthquake rattles northern PhilippinesA strong earthquake has set off landslides and damaged buildings in the northern Philippines, killing at least five people and injuring dozens.
In the capital Manila, hospital patients were evacuate… [+3510 chars]",5,"{'5': {'5': 0.7843955159187317, 'none': 0.03611789643764496, 'yes': 0.028571605682373047, 'five': 0.027477040886878967, '4': 0.014822753146290779}}",50,"{'50': {'50': 0.1219918429851532, '40': 0.10765742510557175, 'none': 0.06086399033665657, '45': 0.03691587597131729, '30': 0.02852637879550457}}",Manila,"{'Man': {'Man': 0.7114706635475159, 'none': 0.08767039328813553, 'Philipp': 0.046926580369472504, 'B': 0.01014858391135931, 'Ph': 0.008886397816240788}, 'ila': {'ila': 0.9863969683647156, 'illa': 0.010620743036270142, 'il': 0.0006896534468978643, 'ille': 0.00023833784507587552, 'ag': 0.0002256537409266457}}",Philippines,-1,yes,-1
20,2022-07-27T13:48:33Z,"Strong earthquake kills 5, injures dozens in northern PhilippinesMANILA, Philippines (AP) A strong earthquake set off landslides and damaged buildings in the northern Philippines on Wednesday, killing at least five people and injuring dozens. In the capital, hospi… [+3548 chars]",5,"{'5': {'5': 0.8536965250968933, 'none': 0.026597728952765465, 'five': 0.023472411558032036, 'yes': 0.019008539617061615, '4': 0.007620376069098711}}",50,"{'50': {'50': 0.1760856807231903, '40': 0.13291645050048828, 'none': 0.09877511858940125, '45': 0.04487061873078346, '30': 0.038081202656030655}}",Manila,"{'Man': {'Man': 0.7789130210876465, 'none': 0.07592715322971344, 'Philipp': 0.02665293775498867, 'B': 0.011110597290098667, 'C': 0.009211008436977863}, 'ila': {'ila': 0.9793667197227478, 'illa': 0.016589686274528503, 'il': 0.0012792592169716954, 'ille': 0.00025190107407979667, 'ag': 0.00023297040024772286}}",Philippines,-1,yes,-1
